PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,RotationW
0.05650228,0.9809963,0.364148,0.1996807,-0.01159156,-0.005454309,-0.9797773
0.05608197,0.9795858,0.3653526,0.198234,-0.0279614,-0.01512826,-0.979639
0.05606773,0.9788046,0.3658184,0.1987054,-0.03844843,-0.01603223,-0.9791735
0.05580866,0.9784238,0.3650851,0.1991675,-0.03171387,-0.002931406,-0.9794478
0.0557353,0.9779289,0.3638278,0.1986909,-0.02074658,0.01132288,-0.9797772
0.05623949,0.9773971,0.3636544,0.1930599,-0.02075089,0.02085617,-0.9807458
0.05627796,0.9762861,0.3642004,0.1858928,-0.02661244,0.01271274,-0.9821274
0.05574817,0.9748947,0.3644003,0.1833157,-0.02808782,0.001877216,-0.982651
0.0561984,0.9729053,0.3637904,0.1835536,-0.02299437,0.00714897,-0.9827148
0.05698643,0.9710298,0.3636241,0.1794649,-0.01372244,0.01879548,-0.9834891
0.05802808,0.9691868,0.3629884,0.1788381,-0.00693535,0.03027714,-0.9833881
0.05809271,0.9675803,0.362655,0.176044,-0.008071738,0.02945246,-0.9839085
0.05778001,0.965384,0.362129,0.1720715,-0.009368483,0.02255173,-0.9847817
0.05757258,0.9630512,0.361637,0.168524,-0.00895848,0.01874854,-0.9854785
0.05725836,0.9606283,0.3606724,0.1668433,-0.00823536,0.01578418,-0.9858227
0.05690603,0.9581689,0.3597929,0.1630409,-0.00431774,0.01568707,-0.9864852
0.0571886,0.95565,0.35891,0.1577774,0.004608314,0.02620777,-0.9871161
0.05752043,0.9531338,0.3580253,0.1522966,0.01074565,0.03703109,-0.9875824
0.05735372,0.9504822,0.3568781,0.1486706,0.01599906,0.04296032,-0.9878237
0.05662042,0.9477131,0.3555885,0.1468458,0.0213548,0.04305157,-0.9879913
0.05574657,0.9447806,0.3542844,0.1453332,0.02485515,0.04009105,-0.9882577
0.05508413,0.9419435,0.3532278,0.1429036,0.02793827,0.0390524,-0.9885712
0.05436367,0.9389421,0.3525183,0.1399977,0.02627138,0.03551691,-0.9891658
0.05359706,0.9358767,0.3519303,0.1369418,0.02383111,0.03070655,-0.9898162
0.05257102,0.9327789,0.3512492,0.133735,0.02326913,0.02510755,-0.9904258
0.05148682,0.9298496,0.3504673,0.1300828,0.02381437,0.02091316,-0.9909965
0.05092664,0.9271848,0.3495942,0.1264942,0.02571247,0.02292603,-0.991369
0.05044023,0.9246505,0.3487667,0.1221242,0.02655811,0.02515917,-0.9918404
0.04992301,0.922078,0.3478891,0.1178529,0.02779546,0.02597388,-0.9923021
0.0495087,0.9197284,0.3468839,0.1150738,0.02945844,0.02658125,-0.9925642
0.04896502,0.9174826,0.3459992,0.1120046,0.03061373,0.02602275,-0.9928951
0.04843353,0.915368,0.3451398,0.109102,0.03096561,0.02473125,-0.9932403
0.04804576,0.9137243,0.3440482,0.107406,0.0310641,0.02328327,-0.993457
0.04775286,0.9123363,0.3425682,0.1073103,0.03257274,0.02212893,-0.9934455
0.04759206,0.9114667,0.3409844,0.1092324,0.03411436,0.02036665,-0.9932219
0.04823065,0.9117058,0.3399276,0.110644,0.03008718,0.0174111,-0.993252
0.0493149,0.9119551,0.3390506,0.1110096,0.02664374,0.01774227,-0.9933037
0.05117168,0.9130324,0.3382315,0.1122564,0.0231787,0.02058462,-0.9931956
0.05368446,0.914918,0.3373646,0.117138,0.01485246,0.02322566,-0.9927329
0.05783227,0.9183809,0.3361821,0.1337045,-0.007580631,0.02512582,-0.9906737
0.06383385,0.9227485,0.3352281,0.1495509,-0.03349198,0.03749,-0.9874752
0.07019101,0.9270074,0.3343202,0.1569499,-0.05417684,0.05534167,-0.9845653
0.07640117,0.930568,0.3335165,0.1581083,-0.06300319,0.07924992,-0.9822178
0.08242244,0.933656,0.3329802,0.1573419,-0.07017253,0.1015422,-0.9798002
0.08719458,0.9362172,0.3325554,0.1577597,-0.07923657,0.1104748,-0.978074
0.08998466,0.9382701,0.3320475,0.158181,-0.08299255,0.1095499,-0.9777985
0.08866692,0.9394751,0.3313066,0.1545256,-0.06592278,0.09249127,-0.9814385
0.08678963,0.9403955,0.3299597,0.1515866,-0.04209171,0.0787776,-0.9844003
0.08317772,0.9406475,0.327915,0.154175,-0.007776652,0.05959179,-0.9862142
0.07830792,0.9391214,0.3257096,0.1553493,0.02403066,0.02451494,-0.987263
0.07463083,0.9365087,0.3254732,0.1435781,0.04068095,-0.01311035,-0.9887156
0.0708059,0.9327167,0.3274033,0.1155681,0.04508556,-0.0602906,-0.9904425
0.06805758,0.9254457,0.3311686,0.0641896,0.06005526,-0.08840181,-0.9921987
0.06625724,0.9205521,0.3319752,0.03944768,0.07538084,-0.112798,-0.9899688
0.06603116,0.9155336,0.3315361,0.02662317,0.08839986,-0.1337976,-0.986699
0.06682456,0.9121891,0.3306806,0.03101465,0.08575363,-0.1605159,-0.9828118
0.07115583,0.9134634,0.3301339,0.07067981,0.05086299,-0.1881855,-0.9782656
0.07658556,0.913367,0.3323472,0.07360902,0.02368907,-0.1935201,-0.9780442
0.08330569,0.9124824,0.3359828,0.05114802,0.001634227,-0.1876963,-0.9808931
0.08712154,0.9112115,0.337789,0.04110175,-0.01581361,-0.1997887,-0.9788489
0.08796647,0.9110113,0.33747,0.05351555,-0.03272643,-0.2387936,-0.9690421
0.08875894,0.9104905,0.3371227,0.06475956,-0.04984176,-0.2823205,-0.9558333
0.09041912,0.9091938,0.3377805,0.06951478,-0.07227105,-0.3255383,-0.9401965
0.09188309,0.9069383,0.3387283,0.0748022,-0.09721287,-0.3837556,-0.9152519
0.09256515,0.9034663,0.3396998,0.07969362,-0.1180328,-0.4531671,-0.8799754
0.0934165,0.900006,0.3403858,0.07933428,-0.1251858,-0.5081026,-0.8484494
0.09452706,0.8966744,0.3406987,0.08053138,-0.1270598,-0.5577677,-0.816251
0.09604476,0.8928312,0.3414643,0.08126664,-0.1290378,-0.6165237,-0.772427
0.09828417,0.8897206,0.3424222,0.08149022,-0.1330703,-0.6683646,-0.7272829
0.1017424,0.8881727,0.3434274,0.07975611,-0.1328542,-0.7058451,-0.6912102
0.1042279,0.8876976,0.344372,0.08597645,-0.1313085,-0.7432024,-0.650397
0.1085738,0.8892097,0.345369,0.0874617,-0.1311988,-0.7675213,-0.621328
0.1127314,0.8923233,0.3463255,0.09422269,-0.1365729,-0.7882754,-0.5925301
0.1163297,0.8983313,0.3477348,0.1012315,-0.1422284,-0.7998126,-0.5743023
0.1201098,0.9060455,0.3491372,0.1053449,-0.1536387,-0.7977439,-0.5735
0.1237357,0.9151503,0.350212,0.1200234,-0.1733157,-0.7920693,-0.5728719
0.1274204,0.9254045,0.3517244,0.1394983,-0.1980218,-0.7878806,-0.5661905
0.1306435,0.9361379,0.3531654,0.1634503,-0.2214137,-0.7867504,-0.5525249
0.1322629,0.9498595,0.3539497,0.1983164,-0.2474739,-0.7762412,-0.544864
0.1338386,0.9636707,0.3539837,0.2193494,-0.273582,-0.7562805,-0.5523391
0.1353322,0.976298,0.3527239,0.2319929,-0.2915761,-0.7390321,-0.5612434
0.1365037,0.9857816,0.3509656,0.2446948,-0.2975141,-0.7344481,-0.5587448
0.136409,0.9917699,0.3495575,0.2594307,-0.2873079,-0.7490314,-0.5376819
0.1366448,1.000206,0.3489842,0.2763056,-0.2870974,-0.752327,-0.524628
0.1380855,1.010736,0.3479985,0.2891914,-0.2975831,-0.7465873,-0.5200193
0.1403783,1.021378,0.3473223,0.2939028,-0.3113657,-0.7405021,-0.5180051
0.1419235,1.030455,0.3467895,0.3026913,-0.3196888,-0.7400466,-0.508437
0.1416629,1.036356,0.346377,0.3166555,-0.3112842,-0.7468858,-0.4949678
0.1404388,1.038851,0.3467561,0.3274337,-0.2878436,-0.7610186,-0.4803997
0.1400257,1.039805,0.347006,0.3259008,-0.2573662,-0.7712905,-0.4823507
0.1408758,1.040576,0.3469958,0.3212864,-0.222003,-0.7789242,-0.49068
0.1439776,1.038014,0.3477629,0.2963342,-0.1715231,-0.7982177,-0.4955952
0.1512419,1.033184,0.3496079,0.2483239,-0.1243801,-0.834295,-0.4762529
0.1612531,1.029174,0.3520548,0.1922818,-0.09600029,-0.8700133,-0.4437212
0.1760327,1.0266,0.3537408,0.1301878,-0.08793099,-0.908569,-0.387068
