PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,RotationW
-0.2006817,0.8699214,-0.3903678,-0.1287043,-0.7842354,-0.1619254,0.5849702
-0.2005271,0.8699436,-0.3903692,-0.1295515,-0.7838629,-0.1627282,0.5850597
-0.1994118,0.8701996,-0.3903069,-0.134298,-0.7822542,-0.1659846,0.5852278
-0.1987814,0.8704292,-0.3902728,-0.1380722,-0.7805178,-0.1674735,0.5862429
-0.1984959,0.8705605,-0.3903628,-0.1383766,-0.7808406,-0.1657708,0.5862252
-0.1983504,0.8707318,-0.3902791,-0.1388379,-0.7779984,-0.1646808,0.5901887
-0.1983782,0.8710052,-0.3903323,-0.137353,-0.7784353,-0.164633,0.5899733
-0.1979821,0.8715636,-0.3903748,-0.1394959,-0.7754797,-0.1646688,0.5933434
-0.1984819,0.8712836,-0.3905621,-0.1353482,-0.7787168,-0.1632052,0.5904617
-0.1977982,0.8718204,-0.3903663,-0.1289909,-0.7824687,-0.1672498,0.5857744
-0.1969439,0.871922,-0.390341,-0.1316851,-0.7822774,-0.1713066,0.5842561
-0.1967256,0.8720604,-0.3906465,-0.1327972,-0.7825051,-0.1710376,0.5837781
-0.1971098,0.8719887,-0.3909566,-0.1330531,-0.7825944,-0.1686109,0.5843058
-0.1970616,0.872155,-0.391115,-0.1327535,-0.7827566,-0.1691667,0.5839959
-0.1969564,0.8723087,-0.391111,-0.1323952,-0.7825706,-0.1700663,0.5840653
-0.1969922,0.8723993,-0.3911027,-0.1320483,-0.7821864,-0.1700895,0.5846514
-0.1969833,0.8724709,-0.391143,-0.1319065,-0.7820802,-0.1700966,0.5848234
-0.1971288,0.8725837,-0.3912822,-0.1319591,-0.781646,-0.1698431,0.5854654
-0.1972581,0.8726872,-0.391399,-0.1321329,-0.7811862,-0.1696229,0.5861034
-0.1973518,0.8727469,-0.3914544,-0.1323164,-0.780953,-0.1695656,0.5863891
-0.1974022,0.872793,-0.3914839,-0.1321534,-0.7808536,-0.1695715,0.5865566
-0.197531,0.8729151,-0.3915468,-0.1315392,-0.7805355,-0.1697138,0.5870767
-0.1976141,0.8730167,-0.391535,-0.1302633,-0.7808034,-0.1702642,0.5868454
-0.1976738,0.8730867,-0.3915187,-0.1295295,-0.7808961,-0.1705837,0.5867918
-0.1977469,0.8731799,-0.391492,-0.1289044,-0.7808801,-0.1707329,0.5869073
-0.1977689,0.8732873,-0.3914325,-0.1281464,-0.7810031,-0.1714619,0.5866971
-0.197751,0.8733367,-0.3913902,-0.1280337,-0.7810667,-0.1719474,0.586495
-0.1977747,0.8733724,-0.3913739,-0.1278621,-0.7810268,-0.1721005,0.5865406
-0.1978317,0.8734809,-0.3913464,-0.1269898,-0.7812204,-0.1725636,0.5863361
-0.1978291,0.8735878,-0.3913465,-0.1263796,-0.7814296,-0.1732991,0.5859721
-0.1978196,0.873649,-0.3913593,-0.1261193,-0.7815008,-0.1736783,0.585821
-0.1978003,0.8736435,-0.3913589,-0.1261589,-0.7815396,-0.1737605,0.5857364
-0.1977819,0.8736417,-0.391354,-0.1261844,-0.7815515,-0.1738346,0.5856929
-0.1977442,0.8736407,-0.3913016,-0.1259584,-0.7816565,-0.1741567,0.5855058
-0.1976746,0.8736624,-0.3912289,-0.1254998,-0.7817768,-0.1746418,0.5852991
-0.197633,0.8736634,-0.3912088,-0.125252,-0.781919,-0.1748101,0.585112
-0.1975917,0.8736323,-0.3912111,-0.1250856,-0.7821192,-0.1748362,0.5848721
-0.1975453,0.8735607,-0.3912096,-0.1251107,-0.7823326,-0.1748709,0.584571
-0.1974699,0.8734505,-0.3912184,-0.1252496,-0.7826363,-0.1749463,0.5841119
-0.1974097,0.8733276,-0.3912283,-0.1253183,-0.783024,-0.1750192,0.5835556
-0.1973055,0.8733906,-0.3912321,-0.1251737,-0.7830005,-0.1750635,0.5836049
-0.1972565,0.8733643,-0.3911943,-0.1246711,-0.782991,-0.1749544,0.5837578
-0.1972632,0.8733178,-0.3911654,-0.1244851,-0.7829552,-0.1749723,0.5838403
-0.1973345,0.873208,-0.3911412,-0.1243933,-0.7830364,-0.1749644,0.5837533
-0.1974237,0.8730886,-0.3911141,-0.1242919,-0.7830811,-0.1749017,0.5837336
-0.1975091,0.8729649,-0.391062,-0.1240155,-0.7830737,-0.1748922,0.5838052
-0.1974033,0.8729913,-0.3910307,-0.1236711,-0.7829604,-0.1748744,0.5840355
-0.1972105,0.8730799,-0.3910247,-0.123395,-0.7829747,-0.1749873,0.5840409
-0.197279,0.8730363,-0.3909649,-0.1232426,-0.7827044,-0.1750545,0.5844151
-0.1973691,0.8730031,-0.3909375,-0.1232979,-0.7825464,-0.175119,0.5845957
-0.1974723,0.8729715,-0.390904,-0.1232862,-0.7823966,-0.1752744,0.5847521
-0.1974476,0.8730339,-0.390871,-0.123217,-0.782217,-0.1753991,0.5849695
-0.1972136,0.8732098,-0.3908511,-0.123139,-0.7820762,-0.1755702,0.5851228
-0.1969826,0.8733928,-0.3908249,-0.1227964,-0.7821164,-0.1759188,0.5850365
-0.1970302,0.8734211,-0.3907949,-0.1225509,-0.7820894,-0.1762734,0.5850172
-0.1971028,0.8734401,-0.3907901,-0.1223715,-0.7819399,-0.1763582,0.5852291
-0.1971272,0.873467,-0.3907931,-0.1223699,-0.7818894,-0.1764683,0.5852637
-0.1970259,0.873578,-0.390779,-0.1223604,-0.7818657,-0.1769452,0.5851533
-0.1968108,0.8737563,-0.3907345,-0.1224313,-0.7817113,-0.1774302,0.5851979
-0.1966741,0.8738847,-0.3906855,-0.1222903,-0.7815547,-0.1778119,0.5853207
-0.1966539,0.8739507,-0.3906363,-0.12217,-0.7813597,-0.1782311,0.5854787
-0.1966351,0.87398,-0.3906175,-0.1222699,-0.7812305,-0.1784227,0.5855718
-0.1966227,0.874,-0.3906113,-0.1224125,-0.7811263,-0.1785258,0.5856496
-0.1965425,0.8740645,-0.3905483,-0.122548,-0.7809999,-0.1789018,0.5856752
-0.1964815,0.8741171,-0.3904853,-0.1224922,-0.7808715,-0.1792621,0.5857478
-0.1964218,0.8741547,-0.3904035,-0.1225416,-0.7805946,-0.1797838,0.5859466
-0.1963902,0.8742009,-0.3902829,-0.1227067,-0.7799445,-0.1806288,0.5865176
-0.1963451,0.8742978,-0.3901091,-0.1227478,-0.7793118,-0.1817841,0.5869929
-0.1962691,0.874485,-0.3898105,-0.121967,-0.778511,-0.1837133,0.5876173
-0.1960398,0.8748198,-0.3894788,-0.1210373,-0.7777861,-0.186225,0.5879788
-0.1957034,0.8751876,-0.3891949,-0.1204557,-0.7773706,-0.1889468,0.5877793
-0.1954217,0.8755111,-0.3889427,-0.1206111,-0.7766456,-0.1908898,0.588078
-0.1952226,0.8758196,-0.3887121,-0.1209923,-0.7755678,-0.1923588,0.5889428
-0.195034,0.8761088,-0.3885243,-0.1207187,-0.7751846,-0.1937646,0.5890426
-0.1946644,0.8765088,-0.3882844,-0.1208945,-0.7742442,-0.1964603,0.5893503
-0.1942991,0.8769417,-0.3881038,-0.1205268,-0.7733268,-0.1986548,0.5898943
-0.1939872,0.8773023,-0.3880099,-0.1200546,-0.7726371,-0.1994605,0.5906221
-0.1935707,0.8775914,-0.3880847,-0.1212606,-0.771927,-0.1999378,0.5911426
-0.1929838,0.8779019,-0.3883544,-0.1238518,-0.7711526,-0.2002062,0.591525
-0.1922431,0.8782333,-0.3887986,-0.1258356,-0.7712865,-0.2010293,0.590652
-0.1912164,0.878654,-0.3896192,-0.1287519,-0.7712463,-0.2016138,0.5898762
-0.1898016,0.879019,-0.3908508,-0.1337181,-0.7720438,-0.2013238,0.5878235
-0.1881304,0.8792173,-0.3925622,-0.1410143,-0.7733878,-0.1987719,0.5852146
-0.1863388,0.8793675,-0.3945538,-0.1501673,-0.7744352,-0.195963,0.5824934
-0.1841383,0.8794829,-0.3972075,-0.1617477,-0.7756138,-0.1926327,0.5789244
-0.1813594,0.8794289,-0.4008427,-0.1772314,-0.7769367,-0.1863718,0.5746512
-0.1782498,0.8794494,-0.4044825,-0.1910133,-0.7785383,-0.1826675,0.5692316
-0.1744731,0.8792307,-0.408783,-0.2024434,-0.7838895,-0.1792789,0.5589213
-0.1710176,0.8788201,-0.4129977,-0.2119144,-0.789543,-0.1755433,0.5485424
-0.1677228,0.8781763,-0.4176642,-0.2217627,-0.7941799,-0.1699498,0.539645
-0.1649037,0.8770823,-0.4231003,-0.234426,-0.7942752,-0.1588712,0.5375234
-0.1623492,0.8760835,-0.4285564,-0.2508689,-0.7891222,-0.1472195,0.5409967
-0.1594765,0.8753392,-0.4341788,-0.2736195,-0.7766684,-0.1383304,0.5502574
-0.1532069,0.8741753,-0.4438473,-0.3066316,-0.7663137,-0.1282048,0.5498219
-0.1492271,0.8737325,-0.4478492,-0.3172488,-0.7705137,-0.1297573,0.5374243
-0.1454358,0.873528,-0.4514915,-0.3163309,-0.7798254,-0.1335845,0.5234143
-0.142319,0.8738798,-0.4551176,-0.3188915,-0.7819823,-0.1360841,0.5179701
-0.140077,0.8744826,-0.4590967,-0.3276734,-0.7763314,-0.1330582,0.5217617
-0.1380299,0.8747515,-0.4627841,-0.3360586,-0.7694237,-0.1300863,0.5273797
-0.1357722,0.8745474,-0.4667116,-0.3463605,-0.762158,-0.1260338,0.5322266
-0.1338031,0.8737742,-0.4712366,-0.3601042,-0.7553458,-0.1166811,0.5349423
-0.1320286,0.8729174,-0.4753492,-0.3745216,-0.745229,-0.108175,0.5409856
-0.1303764,0.8722241,-0.4789745,-0.3859603,-0.733426,-0.1031474,0.5499833
-0.1283957,0.8712167,-0.4826139,-0.3985928,-0.7217841,-0.09752663,0.5573509
-0.1263795,0.869679,-0.486609,-0.4166848,-0.7086461,-0.08850656,0.5624599
-0.125206,0.867865,-0.4910784,-0.4299841,-0.7021295,-0.07474691,0.5626195
-0.124259,0.8659644,-0.4959805,-0.4465407,-0.6927407,-0.05364934,0.5637672
-0.1230749,0.8636494,-0.5008739,-0.4673006,-0.68463,-0.03595477,0.5582287
-0.1211677,0.8616994,-0.5051206,-0.4912692,-0.677161,-0.03794807,0.5465049
-0.1204378,0.85916,-0.5063744,-0.4528029,-0.7350435,-0.05163633,0.5020102
-0.1205988,0.857519,-0.5065598,-0.3912882,-0.8000602,-0.04975252,0.4520199
-0.121244,0.8575276,-0.5069583,-0.3492074,-0.840476,-0.04102378,0.4122757
-0.1218185,0.8576584,-0.5081396,-0.3236621,-0.8604645,-0.02983009,0.3923695
-0.1223773,0.8572977,-0.5092415,-0.3274833,-0.8504236,-0.01967647,0.4112752
-0.1230621,0.857058,-0.5091963,-0.3212851,-0.834996,-0.01448197,0.4464839
-0.1240742,0.8565606,-0.5088187,-0.3022132,-0.8283122,-0.01140941,0.4716311
-0.1248025,0.8565104,-0.5083396,-0.2964987,-0.8139045,-0.01556177,0.4994056
-0.1239975,0.8570845,-0.5094746,-0.3088602,-0.8073391,-0.02489559,0.5021845
-0.1228793,0.8576036,-0.5097575,-0.3283339,-0.8018941,-0.03560777,0.4978904
